top - 15:28:20 up  4:25,  1 user,  load average: 2,42, 2,75, 2,22
Tasks: 389 total,   1 running, 388 sleeping,   0 stopped,   0 zombie
%Cpu(s): 13,6 us,  0,8 sy,  0,0 ni, 85,6 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
MiB Mem :  31835,6 total,  20859,3 free,   4557,7 used,   6418,6 buff/cache
MiB Swap:   7628,0 total,   7628,0 free,      0,0 used.  26111,6 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  69311 root      20   0   11,8g 193256  28516 S 100,0   0,6   1:49.03 java
  64514 satrai    20   0 3527384 353348 191784 S   0,0   1,1   0:17.71 firefox
  64584 satrai    20   0  208604  43972  36216 S   0,0   0,1   0:00.01 Socket+
  64604 satrai    20   0 2455108 118744  94532 S   0,0   0,4   0:00.50 Privil+
  64659 satrai    20   0 2451336 104436  84964 S   0,0   0,3   0:00.35 WebExt+
  64706 satrai    20   0  212068  41988  34220 S   0,0   0,1   0:00.03 Utilit+
  64716 satrai    20   0 2573496 167176 106956 S   0,0   0,5   0:05.63 Isolat+
  64846 satrai    20   0 2416044  76512  65288 S   0,0   0,2   0:00.12 Web Co+
  64850 satrai    20   0 2416044  76776  65532 S   0,0   0,2   0:00.12 Web Co+
  65045 satrai    20   0  360064   5612   4980 S   0,0   0,0   0:00.06 sd_dum+
  65048 satrai    20   0  360096   5468   4848 S   0,0   0,0   0:00.06 sd_gen+
  65051 satrai    20   0  459000   8232   6676 S   0,0   0,0   0:00.06 sd_esp+
  65057 satrai    20   0  168368   2224   1956 S   0,0   0,0   0:00.00 speech+
  65061 satrai    20   0 2416044  77080  65860 S   0,0   0,2   0:00.10 Web Co+
  65419 root      20   0       0      0      0 I   0,0   0,0   0:00.07 kworke+
  65420 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworke+
  65755 root      20   0       0      0      0 I   0,0   0,0   0:00.32 kworke+
  65870 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworke+
  66035 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworke+
  66494 root      20   0       0      0      0 I   0,0   0,0   0:00.38 kworke+
  66495 root      20   0       0      0      0 I   0,0   0,0   0:00.05 kworke+
  66614 root      20   0       0      0      0 I   0,0   0,0   0:00.03 kworke+
  66712 root      20   0       0      0      0 I   0,0   0,0   0:00.24 kworke+
  66824 root      20   0       0      0      0 I   0,0   0,0   0:00.01 kworke+
  66829 root      20   0       0      0      0 I   0,0   0,0   0:00.03 kworke+
  67451 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworke+
  67452 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworke+
  67453 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworke+
  67454 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworke+
  67455 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworke+
  67456 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworke+
  67457 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworke+
  67458 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworke+
  67459 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworke+
  67460 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworke+
